label,text,source
smish,"মহান স্বাধীনতা দিবসের শুভেচ্ছা। বিশ্বস্ত ও স্মার্ট ব্যাংকিং সেবায় ২৪/৭ সোনালী ব্যাংক আপনার পাশে।
মোঃ আফজাল করিম
সিইও এন্ড এমডি",Bengali
promo,Robi-তে মাসিক ইন্টারনেট প্যাক ৫০জিবি মাত্র ৪৯৯ টাকা। ডায়াল করুন *123*499#।,Bengali
promo,বড়দিনের শুভেচ্ছা। থাকছে ২৫% ছাড় ৩১ ডিসেম্বর পর্যন্ত । ০১৭১৩১৯৯২৭০,Bengali
normal,"গত সপ্তাহে নতুন একটা বই কিনেছিলাম। নামটা দারুণ ইন্টারেস্টিং, পড়া শুরু করতেই গল্পে ডুবে গেছি। কালকে শেষ করার চেষ্টা করবো।",Bengali
normal,তোমার প্রিয় উৎসব কি?,Bengali
normal,শাওন বলছিলো আগামী সপ্তাহে একটা ছোট্ট ট্রিপে যাবে। তুমি কি যাবে আমাদের সাথে?,Bengali
smish,আপনার নম্বরটি পুরস্কার জিতেছে। বিস্তারিত জানতে কল করুন +8801718899001,Bengali
smish,"""আপনার ATM কার্ড ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে এই নম্বরে আপনার কার্ড নম্বর পাঠান: 0123456789""",Bengali
normal,শুভ দীপাবলী!,Bengali
promo,Daraz Fashion-এ আজ সব কাপড়ে ২০% ছাড়। কোড: STYLE20 ব্যবহার করুন।,Bengali
smish,নগদ অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে কল করুন: +8801716566678,Bengali
promo,"২০০মিনিট (৩০দিন) ১৭৪ টাকা, ডায়াল *১২১*৪৪১০# বা https://mygp.li/v1",Bengali
smish,জরুরী ! আমাদের অ্যাপল অ্যাকাউন্টধারীর সাথে যোগাযোগ করতে হবে। আপনি যদি এই অ্যাকাউন্টটি পরিচালনা করেন তবে বার্তাটি পেতে আপনার পরিচয় যাচাই করুন৷,Bengali
promo,"মেগা ক্যাশব্যাক ২৫০৳! নাও-৬০জিবি+১৬০০মি.@৭৪৯৳, ৩০দিন: cutt.ly/yeqcP3pE",Bengali
promo,রবিতে নতুন প্যাকেজ! ৩০ দিনের জন্য আনলিমিটেড কল মাত্র ২৯৯ টাকা। *১২৩*৩*৪# ডায়াল করুন।,Bengali
normal,তুমি কি পরিবারের সাথে আছো?,Bengali
normal,"আব্বু, আমি ঢাকায় পৌঁছে গেছি। হোটেলে চেক ইন করলাম।",Bengali
promo,বাংলাদেশ নৌবাহিনীতে অফিসার ক্যাডেট পদে নিয়োগ চলছে । ভিজিট করুন: www.joinnavy.navy.mil.bd,Bengali
promo,"ডাটা মিক্সারে করো পকেট সেভিং, নাও ৬০জিবি@ ৳৫৬৯,৩০দিন: cutt.ly/HwQzEu9E",Bengali
promo,"বেবি প্রোডাক্টে স্পেশাল ডিসকাউন্ট! ডায়াপার, ফুডে ৩০% ছাড়।",Bengali
promo,Banglalink Game Portal এ সাবস্ক্রিপশন প্রথম সপ্তাহ ফ্রি। গেম খেলুন সীমাহীন।,Bengali
smish,"বাংলালিংক জানাচ্ছে, আপনার অ্যাকাউন্ট ব্লক হওয়ার পথে। অবিলম্বে verify-banglalink24.net এ লগইন করুন।",Bengali
smish,আপনার মোবাইল নম্বরটি হাই-এন্ড ল্যাপটপ জিতেছে! পুরস্কার পেতে কল করুন +8801819900012,Bengali
smish,সর্তকতা: আপনার পাসপোর্ট এক্সপায়ার হয়েছে। রিনিউ: passport-renew.cf,Bengali
normal,০১৭২৯১৭৩৮৬২ নাম্বারে রকেটে টাকা পাঠান।,Bengali
smish,"https://link-monetize.com/register?ref=273312
এই লিংক থেকে একাউন্ট করলেই পাবেন ৮৫ টাকা। শুধু ২ মিনিটে ৪ টাস্ক কমপ্লিট করতে হবে। এভাবে প্রতিদিন ৪ করে টাস্ক আসবে আর ৮৫ টাকা করে পাবেন। বাকি কিছু জানতে ইনবক্সে নক দিন💝💝",Bengali
smish,"আপনার হাতে যদি ডেইলি 3-4 ঘন্টা সময় ফ্রি থাকে তাহলে যানাবেন। আশা করি খুব ভালো একটা কাজের সন্ধান দিতে পারবো। 
 ইনবক্স করেন",Bengali
smish,"নগদ অ্যাকাউন্ট থেকে ৫,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে কল করুন: +8801918899001",Bengali
normal,আজ সকালে হালকা ব্যায়াম করলাম। শরীরটা ফ্রেশ লাগছে।,Bengali
normal,"ভাই, আজ বিকেলে খেলতে যাবে? নতুন ক্রিকেট ব্যাট কিনেছি।",Bengali
smish,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। যোগ দিন: ebayisapidlld.altervista.org/,Bengali
smish,বিপিএলে বাজি ধরুন এবং একটি নতুন বাইক জিতুন! যোগ দিন: smilesvoegol.servebbs.org/voegol.php,Bengali
smish,আপনার ব্যাংক অ্যাকাউন্টের তথ্য যাচাই করতে হবে। অনুগ্রহ করে এখানে ক্লিক করুন: http://bit.ly/VerifyInfo,Bengali
promo,Shohoz Tickets দিয়ে বাস টিকিট কিনলে পাচ্ছেন ১৫% ছাড়। কোড ব্যবহার করুন BUS15। ভ্রমণ হোক আরও সাশ্রয়ী।,Bengali
smish,ক্রিপ্টো ট্রেডিং এ বিশেষ অফার! এখনই লগইন করুন: http://bit.ly/CryptoDeal,Bengali
normal,শুভ পোহেলা ফাল্গুন!,Bengali
smish,আপনি ১ ভরি সোনা জিতেছেন! পুরস্কার নিতে কল করুন: +8801819876543,Bengali
promo,"১০০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৩৯৯৳ ৩০দিন, নিয়ে নাও: cutt.ly/2wQlYv6U",Bengali
smish,আপনার ব্যাংক অ্যাকাউন্টে ২ কোটি টাকা জমা হয়েছে! নিশ্চিত করতে কল করুন: +8801917677789,Bengali
normal,আমি একটি নতুন প্রতিষ্ঠানের ব্যবসায় করতে চাই।,Bengali
smish,"প্রিয় গ্রাহক, আপনি বাংলাদেশ ব্যাংক থেকে নির্বাচিত হয়েছেন ২,০০,০০০ টাকা বোনাস লোনের জন্য। এটি দাবি করতে আপনার বিকাশ নাম্বার ও পিন দিন bdloan-grant.org এ।",Bengali
smish,Alert! আপনার প্রভিডেন্ট ফান্ড হ্যাক হয়েছে। সেভ করুন: save-pf.ml,Bengali
normal,এই সময়টাও কেটে যাবে।,Bengali
promo,"Banglalink গ্রাহকগণ, ২০০ টাকার রিচার্জে পাচ্ছেন ১০০ টাকার বোনাস। অফার সীমিত সময়ের জন্য প্রযোজ্য। এখনই নিকটস্থ দোকানে যান।",Bengali
promo,"সেপ্টেম্বর-২৩
রিচার্জ:50৳
খরচ:
ডেটা:168৳
ভয়েস:119৳
অন্যান্য:0৳",Bengali
normal,আমি এই বছরে অনেক বই পড়তে চাই।,Bengali
normal,আজ বিকেলে রাস্তায় হাঁটতে গিয়েছিলাম। বাতাসটা ঠাণ্ডা ও মনোরম ছিল।,Bengali
smish,"আপনার মৌলিক স্থায়ীত্বের মধ্যে ক্যামব্রিজ ইউনিভার্সিটি এপ্লিকেশন ফি মুক্ত! পড়ার স্বপ্ন পূরণ করতে আজই যোগাযোগ করুন - ০১৭৪৬৬৩৫৭২৫""",Bengali
smish,ফ্ল্যাশ বিক্রয়! পরবর্তী 24 ঘন্টার জন্য Daraz-এ 70% পর্যন্ত ছাড় পান। আপনার ডিসকাউন্ট দাবি করতে এখানে ক্লিক করুন: https://Daraz.com/7ty,Bengali
promo,"৮জিবি(বোনাসসহ) ১২৩টাকা ১৫দিন।ডায়াল *১২১*৫৫৪৮#, mygp.li/mo",Bengali
promo,"তোমার জন্য স্পেশাল ডিল ৪জিবি+৮০মি.@৮৭৳, ৭দিন: cutt.ly/Iw0edGlt",Bengali
smish,Good Afternoon!! আমি HYPE Dhaka (RB DIGITAL LIMITED) থেকে মার্কেটিং ম্যানেজার মিথিলা আমাদের কোম্পানির একটি ক্যাম্পিং চলছে সেখানে আপনি জয়েন করে বাড়িতে বসেই আয় করতে পারেন,Bengali
smish,আপনার ব্যাংক অ্যাকাউন্টে ১ কোটি টাকা জমা হয়েছে! নিশ্চিত করতে কল করুন: +8801914344456,Bengali
smish,জনতা ব্যাংক থেকে জরুরি বার্তা। কল করুন: +8801913233245,Bengali
promo,"বাংলালিংকের সবচেয়ে বড় ডিজিটাল অফার! আমাদের নতুন 'ডিজিটাল বাংলাদেশ' প্যাকেজে মাত্র ৩৯৯ টাকায় পাবেন ২০ জিবি হাই-স্পিড ইন্টারনেট, সব অপারেটরে ২০০ মিনিট কল, ১০০ SMS এবং বিশেষ বোনাস হিসেবে Netflix এ ৭ দিনের ফ্রি সাবস্ক্রিপশন। এছাড়াও রয়েছে Facebook, WhatsApp, এবং YouTube এ ডেটা সাশ্রয়ী ব্যবহারের সুবিধা। এই অফার কেবল আগামী ১৫ দিনের জন্য বৈধ। এখনই *১৬৮*৩৯৯# ডায়াল করুন।",Bengali
normal,তোমার সকল ইচ্ছা পূরণ হোক!,Bengali
promo,এয়ারটেলে বিশেষ প্যাকেজ! ৩০দিন আনলিমিটেড ইন্টারনেট মাত্র ৫৯৯ টাকা।,Bengali
promo,"৳৩৯৯ তে ৳৪৯৯ এর অফার! নাও ৩১জিবি+৪৫০মি., ৩০দিন: cutt.ly/2wQlYv6U",Bengali
smish,আপনার ব্যাংক অ্যাকাউন্টে সন্দেহজনক লগইন হয়েছে। নিরাপত্তার জন্য দ্রুত http://dbbl-loginhelp.com এ লগইন করুন এবং কার্ড তথ্য প্রদান করুন।,Bengali
promo,"“স্বাস্থ্য, পুষ্টি ও সমৃদ্ধি চাই, নিরাপদ খাদ্যের বিকল্প নাই”। ০২ ফেব্রুয়ারি জাতীয় নিরাপদ খাদ্য দিবস ২০২৪ সফল হোক। বাংলাদেশ নিরাপদ খাদ্য কর্তৃপক্ষ, খাদ্য মন্ত্রণালয়।",Bengali
normal,০১৭২৮২৯১৭৬৫ এই নাম্বারে রকেটে ৫০০ টাকা দাও।,Bengali
normal,০১৭২৯১৭২৯৬৪ নাম্বারে রকেটে টাকা পাঠান।,Bengali
smish,আপনার মোবাইল রিচার্জ করতে কল করুন: +8801814344356,Bengali
smish,"১০০% গেরান্টিসহ মালেশিয়ান, ইউরোপিয়ান,আমেরিকা, কানাডা ভিসা পেতে আজই যোগাযোগ করুন ০১৭৬৫৪৩৩৪২২, অগ্রীম ফি লাগবে না। ",Bengali
normal,০১৮২৭২৮১৭৩৯ এই নাম্বারে রকেটে ৫০০ টাকা দাও।,Bengali
smish,আপনার মোবাইল রিচার্জ করতে কল করুন: +8801815455567,Bengali
smish,আপনার অ্যাকাউন্টের সুরক্ষা যাচাই করতে কল করুন +8801916677889,Bengali
promo,Shohoz Tickets দিয়ে ট্রেন টিকিট কিনলে ১২% ছাড়। কোড: TRAIN12।,Bengali
smish,"৫,০০০ টাকা বিনিয়োগে ১৫,০০০ টাকা অর্জন করুন! কল করুন: +8801916677889",Bengali
promo,"Robi Music Pack মাত্র ২৫ টাকা, বৈধতা ৭ দিন। সক্রিয় করতে *123*25#।",Bengali
normal,আজকে অনেকদিন পর এক আত্মীয়ের সাথে দেখা হলো। সবাই মিলে আড্ডা দিলাম। ছোটবেলার গল্পগুলো মনে পড়ে যাচ্ছিলো।,Bengali
smish,"ফ্রিতে মাইনিং করে ইনকাম করুন। ১০০% ফ্রি। টেলিগ্রাম অ্যাপ থাকলেই হবে। লিংক এ ক্লিক করে start করতে হবে, ৬ ঘন্টা পর পর টোকেন ক্লেইম করতে হবে। আর কোনো কাজ নেই।
https://t.me/pixelversexyzbot?start=6760562639",Bengali
smish,Facebook থেকে নিরাপত্তা সতর্কতা: আপনার একাউন্ট বাংলাদেশ থেকে অননুমোদিত অ্যাক্সেস পেয়েছে। একাউন্ট রক্ষা করতে এখনই fb-verification-bd.net এ OTP দিন।,Bengali
normal,তোমার এখন কি কাজ হচ্ছে?,Bengali
smish,বাংলাদেশ ব্যাংক থেকে জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801916677889,Bengali
promo,"১৩০টাকায় ১৫০মিনিট(৩০দিন) সাথে বোনাস,নিতে*১২১*৫২০৫#  https://mygp.li/a0",Bengali
promo,উবার বিশেষ ছাড়! প্রথম ১০ রাইডে ৫০% পর্যন্ত ছাড়। প্রোমো কোড: UBER50,Bengali
normal,আজকে আমি একটি নতুন রেস্টুরেন্টে যাব।,Bengali
promo,"১৮০৳ ক্যাশব্যাকে সেরা অফার ৬১জিবি+১০০০মি@ ৳৭১৯,৩০দিন: cutt.ly/wwE5YMXC",Bengali
promo,"১০০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৩৯৯৳,৩০দিন,নিয়ে নাও: cutt.ly/2wQlYv6U",Bengali
smish,bKash অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। দ্রুত সমাধানের জন্য কল করুন: +8801917677789,Bengali
normal,"তুমি পারবে, আমি জানি।",Bengali
normal,তুমি কি নতুন গানটা শুনেছো? আরিফের কণ্ঠে দারুণ লেগেছে।,Bengali
promo,আজই শেষ দিন!বোনাস সহ ২জিবি-৩৫টাকা-৭দিন। ডায়াল *১২১*৫০৩৭# বা mygp.li/mo,Bengali
smish,Robi অ্যাকাউন্টে অস্বাভাবিক কার্যক্রম শনাক্ত হয়েছে। পুনরায় চালু করতে robicare-safebd.org এ লগইন করুন এবং নাম্বার ও OTP যাচাই করুন। ২৪ ঘণ্টার মধ্যে ব্যবস্থা নিন।,Bengali
smish,আপনার ছেলে সমস্যায় আছে জলদি টাকা পাঠান এই নাম্বারে,Bengali
promo,"লোটো লি কুপারে
নগদ পেমেন্টে BMW জেতার সুযোগ
বিকাশে ১০% ক্যাশব্যাক
শপ্র",Bengali
normal,আপনি কি করতে পারেন?,Bengali
normal,তোমার জন্য একটি ভালো দিন!,Bengali
normal,আজ কি করবে? কোনো নতুন কোনো কাজ পালন করবো। তুমি?,Bengali
smish,আপনার গ্যাস সংযোগ পুনরায় সক্রিয় করতে কল করুন +8801719900012,Bengali
promo,নতুন সিজনে সব পোশাকে ২৫% ডিসকাউন্ট। আজই শপিং করুন।,Bengali
smish,আপনার মোবাইল সিম পুনরায় চালু করতে কল করুন +8801915566778,Bengali
normal,আমরা কাল রাতে একসাথে ডিনার করেছিলাম। অনেকদিন পর আড্ডা দিতে ভালো লেগেছে।,Bengali
smish,"১,০০,০০০ টাকা বিনিয়োগে ৩,০০,০০০ টাকা পান! কল করুন: +8801914344356",Bengali
smish,আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন: [mobilesecure.com/VerifyBD],Bengali
normal,তুমি কি শপিংয়ে গেছো?,Bengali
normal,"আপনার পেমেন্ট বাকি ৮০০/- টাকা, দ্রুত পরিশোধ করুন।",Bengali
promo,"Daraz Gadget Fair! স্মার্টওয়াচ, হেডফোন ও ট্যাবলেটে ৫০% ছাড়।",Bengali
normal,আমি ভুল মনে হয় এবং আমি এটি সমাধান করতে চাই।,Bengali
promo,"ইন্টারনেটিংয়ে পকেট সেভিং, নাও ২জিবি@৳৬৯, ৭দিন: cutt.ly/CwUPKGTR",Bengali
normal,"খালা, আগামী সপ্তাহে আপনার বাসায় বেড়াতে যাবো।",Bengali
smish,"প্রিয় গ্রাহক, আপনার Banglalink নম্বর ব্লক হওয়ার পথে। সেবা চালু রাখতে এখনই bl-verification-bd.org এ গিয়ে আপনার জাতীয় পরিচয়পত্র যাচাই করুন।",Bengali
smish,আপনার প্যাকেজ ডেলিভারি করতে একটি নতুন ঠিকানা প্রয়োজন। এখানে ক্লিক করুন: [packageupdate.net/AddressBD],Bengali
promo,Daraz App ডাউনলোড করলেই নতুন ইউজাররা পাচ্ছেন ২৫০ টাকা ভাউচার। শপিং শুরু করুন আজই।,Bengali
smish,নগদ অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: https://t.me/NagadActivateBot2,Bengali
normal,আমার একটি সমস্যা আছে।,Bengali
smish,আপনার NID কার্ড ভেরিফিকেশন প্রয়োজন। এখনই ডাউনলোড: verify-nid.ml,Bengali
normal,"সবকিছু ঠিকঠাক হবে, আমি জানি।",Bengali
smish,"DBBL কার্ড হোল্ডার, আপনার পাসওয়ার্ড ফাঁস হয়েছে। এখনই reset-dbblsafe.org এ গিয়ে পরিবর্তন করুন।",Bengali
smish,আপনার সঞ্চয় দ্বিগুণ করার সুযোগ! কল করুন: +8801712122234,Bengali
normal,তুমি কি আজকে অফিস থেকে তাড়াতাড়ি বের হবে? চল একসাথে চা খাই।,Bengali
smish,"Assalamualikum! 

Apni Ki Barite Boshe Kono Taka Investment Na Kore Taka Income Korte Can? 
Tahole Amader Bot E Kaj korun.  Amader Bot E Apni Kono Investment Chara Income Korte Parben 

Bot Link :- https://t.me/free_online_income_24bot",Bengali
normal,"আমি কাল লাইব্রেরি থেকে নতুন বই নিয়েছি, চাইলে তুমি পড়তে পারো।",Bengali
