label,text,source,has_url,label_id,text_original,text_normalized,urls,url_count,url_count.1,url_total_length,url_max_length,url_digit_count,url_dot_count,url_hyphen_count,url_slash_count,url_has_https,url_has_ip,url_has_at,url_is_shortened,text_for_model,character_length,url_count.2,url_total_length.1,url_max_length.1,url_digit_count.1,url_dot_count.1,url_hyphen_count.1,url_slash_count.1,url_has_https.1,url_has_ip.1,url_has_at.1,url_is_shortened.1,url_count,url_total_length,url_max_length,url_digit_count,url_dot_count,url_hyphen_count,url_slash_count,url_has_https,url_has_ip,url_has_at,url_is_shortened,text_unicode,text_clean,phone_count,has_phone,digit_count,number_count,has_digits,char_count,word_count,exclamation_count,question_count,comma_count,dot_count,colon_count,special_char_count,currency_count,has_currency,security_keyword_count,has_security_keyword,bangla_char_count,english_char_count,bangla_ratio,english_ratio,has_bangla,has_english
smish,"Robi ব্যবহারকারী, আপনার অ্যাকাউন্ট সাসপেন্ড হওয়ার ঝুঁকিতে আছে। পুনরায় চালু রাখতে robicare24-update.org এ গিয়ে আপনার ফোন নম্বর ও OTP প্রদান করুন। সময়সীমা শেষ হলে সেবা আর পাওয়া যাবে না।",Bengali,1,2,"Robi ব্যবহারকারী, আপনার অ্যাকাউন্ট সাসপেন্ড হওয়ার ঝুঁকিতে আছে। পুনরায় চালু রাখতে robicare24-update.org এ গিয়ে আপনার ফোন নম্বর ও OTP প্রদান করুন। সময়সীমা শেষ হলে সেবা আর পাওয়া যাবে না।","Robi ব্যবহারকারী, আপনার অ্যাকাউন্ট সাসপেন্ড হওয়ার ঝুঁকিতে আছে। পুনরায় চালু রাখতে robicare24-update.org এ গিয়ে আপনার ফোন নম্বর ও OTP প্রদান করুন। সময়সীমা শেষ হলে সেবা আর পাওয়া যাবে না।",['robicare24-update.org'],1,1,21,21,2,1,1,0,0,0,0,0,"Robi ব্যবহারকারী, আপনার অ্যাকাউন্ট সাসপেন্ড হওয়ার ঝুঁকিতে আছে। পুনরায় চালু রাখতে  [URL]  এ গিয়ে আপনার ফোন নম্বর ও OTP প্রদান করুন। সময়সীমা শেষ হলে সেবা আর পাওয়া যাবে না।",174,1,21,21,2,1,1,0,0,0,0,0,1,21,21,2,1,1,0,0,0,0,0,"Robi ব্যবহারকারী, আপনার অ্যাকাউন্ট সাসপেন্ড হওয়ার ঝুঁকিতে আছে। পুনরায় চালু রাখতে robicare24-update.org এ গিয়ে আপনার ফোন নম্বর ও OTP প্রদান করুন। সময়সীমা শেষ হলে সেবা আর পাওয়া যাবে না।","Robi ব্যবহারকারী, আপনার অ্যাকাউন্ট সাসপেন্ড হওয়ার ঝুঁকিতে আছে। পুনরায় চালু রাখতে robicare24-update.org এ গিয়ে আপনার ফোন নম্বর ও OTP প্রদান করুন। সময়সীমা শেষ হলে সেবা আর পাওয়া যাবে না।",0,0,2,1,1,188,29,0,0,1,1,0,54,0,0,2,1,128,24,0.8421052631578947,0.15789473684210525,1,1
normal,"ক্ষমতা হলো সূর্যের আলোর মতো, তাতে কেউ আলোকিত হয় আবার কেউ পুড়ে শেষ হয়ে যায়।",Bengali,0,0,"ক্ষমতা হলো সূর্যের আলোর মতো, তাতে কেউ আলোকিত হয় আবার কেউ পুড়ে শেষ হয়ে যায়।","ক্ষমতা হলো সূর্যের আলোর মতো, তাতে কেউ আলোকিত হয় আবার কেউ পুড়ে শেষ হয়ে যায়।",[],0,0,0,0,0,0,0,0,0,0,0,0,"ক্ষমতা হলো সূর্যের আলোর মতো, তাতে কেউ আলোকিত হয় আবার কেউ পুড়ে শেষ হয়ে যায়।",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ক্ষমতা হলো সূর্যের আলোর মতো, তাতে কেউ আলোকিত হয় আবার কেউ পুড়ে শেষ হয়ে যায়।","ক্ষমতা হলো সূর্যের আলোর মতো, তাতে কেউ আলোকিত হয় আবার কেউ পুড়ে শেষ হয়ে যায়।",0,0,0,0,0,78,15,0,0,1,0,0,26,0,0,0,0,62,0,1.0,0.0,1,0
normal,"হাই, কি খবর?",Bengali,0,0,"হাই, কি খবর?","হাই, কি খবর?",[],0,0,0,0,0,0,0,0,0,0,0,0,"হাই, কি খবর?",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"হাই, কি খবর?","হাই, কি খবর?",0,0,0,0,0,12,3,0,1,1,0,0,4,0,0,0,0,8,0,1.0,0.0,1,0
normal,তুমি কি নতুন গানটা শুনেছো? আরিফের গলায় দারুণ লাগছে। গানটা একেবারে বারবার শোনা যায়। কালকে কফিশপে গিয়ে শুনেছিলাম।,Bengali,0,0,তুমি কি নতুন গানটা শুনেছো? আরিফের গলায় দারুণ লাগছে। গানটা একেবারে বারবার শোনা যায়। কালকে কফিশপে গিয়ে শুনেছিলাম।,তুমি কি নতুন গানটা শুনেছো? আরিফের গলায় দারুণ লাগছে। গানটা একেবারে বারবার শোনা যায়। কালকে কফিশপে গিয়ে শুনেছিলাম।,[],0,0,0,0,0,0,0,0,0,0,0,0,তুমি কি নতুন গানটা শুনেছো? আরিফের গলায় দারুণ লাগছে। গানটা একেবারে বারবার শোনা যায়। কালকে কফিশপে গিয়ে শুনেছিলাম।,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,তুমি কি নতুন গানটা শুনেছো? আরিফের গলায় দারুণ লাগছে। গানটা একেবারে বারবার শোনা যায়। কালকে কফিশপে গিয়ে শুনেছিলাম।,তুমি কি নতুন গানটা শুনেছো? আরিফের গলায় দারুণ লাগছে। গানটা একেবারে বারবার শোনা যায়। কালকে কফিশপে গিয়ে শুনেছিলাম।,0,0,0,0,0,114,18,0,1,0,0,0,43,0,0,0,0,93,0,1.0,0.0,1,0
normal,"তুমি অসাধারণ, নিজের উপর বিশ্বাস রাখো।",Bengali,0,0,"তুমি অসাধারণ, নিজের উপর বিশ্বাস রাখো।","তুমি অসাধারণ, নিজের উপর বিশ্বাস রাখো।",[],0,0,0,0,0,0,0,0,0,0,0,0,"তুমি অসাধারণ, নিজের উপর বিশ্বাস রাখো।",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"তুমি অসাধারণ, নিজের উপর বিশ্বাস রাখো।","তুমি অসাধারণ, নিজের উপর বিশ্বাস রাখো।",0,0,0,0,0,37,6,0,0,1,0,0,13,0,0,0,0,30,0,1.0,0.0,1,0
normal,"প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২২,৯০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ২০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত https://student.ulab.edu.bd/ লগইন করুন। (ULAB)",Bengali,1,0,"প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২২,৯০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ২০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত https://student.ulab.edu.bd/ লগইন করুন। (ULAB)","প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২২,৯০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ২০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত https://student.ulab.edu.bd/ লগইন করুন। (ULAB)",['https://student.ulab.edu.bd/'],1,1,28,28,0,3,0,3,1,0,0,0,"প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২২,৯০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ২০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত  [URL]  লগইন করুন। (ULAB)",213,1,28,28,0,3,0,3,1,0,0,0,1,28,28,0,3,0,3,1,0,0,0,"প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২২,৯০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ২০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত https://student.ulab.edu.bd/ লগইন করুন। (ULAB)","প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২২,৯০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ২০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত https://student.ulab.edu.bd/ লগইন করুন। (ULAB)",0,0,13,4,1,234,33,0,0,3,4,1,72,1,1,0,0,157,25,0.8626373626373627,0.13736263736263737,1,1
normal,আমাকে জরুরি কল দিন ০১৭২৪৮৩৯৮৫৬ এই নাম্বারে।,Bengali,0,0,আমাকে জরুরি কল দিন ০১৭২৪৮৩৯৮৫৬ এই নাম্বারে।,আমাকে জরুরি কল দিন ০১৭২৪৮৩৯৮৫৬ এই নাম্বারে।,[],0,0,0,0,0,0,0,0,0,0,0,0,আমাকে জরুরি কল দিন ০১৭২৪৮৩৯৮৫৬ এই নাম্বারে।,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,আমাকে জরুরি কল দিন ০১৭২৪৮৩৯৮৫৬ এই নাম্বারে।,আমাকে জরুরি কল দিন ০১৭২৪৮৩৯৮৫৬ এই নাম্বারে।,0,0,11,1,1,43,7,0,0,0,0,0,10,0,0,0,0,36,0,1.0,0.0,1,0
smish,Emergency! আপনার ক্রেডিট কার্ড ব্লক। আনব্লক: unblock-credit.cf,Bengali,1,2,Emergency! আপনার ক্রেডিট কার্ড ব্লক। আনব্লক: unblock-credit.cf,Emergency! আপনার ক্রেডিট কার্ড ব্লক। আনব্লক: unblock-credit.cf,['unblock-credit.cf'],1,1,17,17,0,1,1,0,0,0,0,0,Emergency! আপনার ক্রেডিট কার্ড ব্লক। আনব্লক:  [URL] ,52,1,17,17,0,1,1,0,0,0,0,0,1,17,17,0,1,1,0,0,0,0,0,Emergency! আপনার ক্রেডিট কার্ড ব্লক। আনব্লক: unblock-credit.cf,Emergency! আপনার ক্রেডিট কার্ড ব্লক। আনব্লক: unblock-credit.cf,0,0,0,0,0,62,7,1,0,0,1,1,13,0,0,0,0,27,24,0.5294117647058824,0.47058823529411764,1,1
smish,"""আপনার ATM কার্ড ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে এই নম্বরে আপনার কার্ড নম্বর পাঠান: 0123456789""",Bengali,0,2,"""আপনার ATM কার্ড ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে এই নম্বরে আপনার কার্ড নম্বর পাঠান: 0123456789""","""আপনার ATM কার্ড ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে এই নম্বরে আপনার কার্ড নম্বর পাঠান: 0123456789""",[],0,0,0,0,0,0,0,0,0,0,0,0,"""আপনার ATM কার্ড ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে এই নম্বরে আপনার কার্ড নম্বর পাঠান: 0123456789""",101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""আপনার ATM কার্ড ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে এই নম্বরে আপনার কার্ড নম্বর পাঠান: 0123456789""","""আপনার ATM কার্ড ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে এই নম্বরে আপনার কার্ড নম্বর পাঠান: 0123456789""",0,0,10,1,1,101,16,0,0,0,0,1,27,0,0,0,0,69,3,0.9583333333333334,0.041666666666666664,1,1
smish,আপনার ইমেইল বাক্সটি পূর্ণ। ক্লিয়ার করতে এখানে ক্লিক করুন: [emailclean.com/ClearBD],Bengali,1,2,আপনার ইমেইল বাক্সটি পূর্ণ। ক্লিয়ার করতে এখানে ক্লিক করুন: [emailclean.com/ClearBD],আপনার ইমেইল বাক্সটি পূর্ণ। ক্লিয়ার করতে এখানে ক্লিক করুন: [emailclean.com/ClearBD],['emailclean.com/ClearBD'],1,1,22,22,0,1,0,1,0,0,0,0,আপনার ইমেইল বাক্সটি পূর্ণ। ক্লিয়ার করতে এখানে ক্লিক করুন: [ [URL] ],68,1,22,22,0,1,0,1,0,0,0,0,1,22,22,0,1,0,1,0,0,0,0,আপনার ইমেইল বাক্সটি পূর্ণ। ক্লিয়ার করতে এখানে ক্লিক করুন: [emailclean.com/ClearBD],আপনার ইমেইল বাক্সটি পূর্ণ। ক্লিয়ার করতে এখানে ক্লিক করুন: [emailclean.com/ClearBD],0,0,0,0,0,83,10,0,0,0,1,1,23,0,0,0,0,48,20,0.7058823529411765,0.29411764705882354,1,1
promo,রবিতে নতুন প্যাকেজ! ৩০ দিনের জন্য আনলিমিটেড কল মাত্র ২৯৯ টাকা। *১২৩*৩*৪# ডায়াল করুন।,Bengali,0,1,রবিতে নতুন প্যাকেজ! ৩০ দিনের জন্য আনলিমিটেড কল মাত্র ২৯৯ টাকা। *১২৩*৩*৪# ডায়াল করুন।,রবিতে নতুন প্যাকেজ! ৩০ দিনের জন্য আনলিমিটেড কল মাত্র ২৯৯ টাকা। *১২৩*৩*৪# ডায়াল করুন।,[],0,0,0,0,0,0,0,0,0,0,0,0,রবিতে নতুন প্যাকেজ! ৩০ দিনের জন্য আনলিমিটেড কল মাত্র ২৯৯ টাকা। *১২৩*৩*৪# ডায়াল করুন।,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,রবিতে নতুন প্যাকেজ! ৩০ দিনের জন্য আনলিমিটেড কল মাত্র ২৯৯ টাকা। *১২৩*৩*৪# ডায়াল করুন।,রবিতে নতুন প্যাকেজ! ৩০ দিনের জন্য আনলিমিটেড কল মাত্র ২৯৯ টাকা। *১২৩*৩*৪# ডায়াল করুন।,0,0,10,5,1,85,14,1,0,0,0,0,27,1,1,0,0,65,0,1.0,0.0,1,0
smish,গ্রামীণফোন অ্যাপ লগইন ব্যর্থ হয়েছে। এখনই gp-appreset.net এ লগইন করে আপনার পাসওয়ার্ড রিসেট করুন। অন্যথায় ২৪ ঘণ্টার মধ্যে অ্যাকাউন্ট সাসপেন্ড হবে।,Bengali,1,2,গ্রামীণফোন অ্যাপ লগইন ব্যর্থ হয়েছে। এখনই gp-appreset.net এ লগইন করে আপনার পাসওয়ার্ড রিসেট করুন। অন্যথায় ২৪ ঘণ্টার মধ্যে অ্যাকাউন্ট সাসপেন্ড হবে।,গ্রামীণফোন অ্যাপ লগইন ব্যর্থ হয়েছে। এখনই gp-appreset.net এ লগইন করে আপনার পাসওয়ার্ড রিসেট করুন। অন্যথায় ২৪ ঘণ্টার মধ্যে অ্যাকাউন্ট সাসপেন্ড হবে।,['gp-appreset.net'],1,1,15,15,0,1,1,0,0,0,0,0,গ্রামীণফোন অ্যাপ লগইন ব্যর্থ হয়েছে। এখনই  [URL]  এ লগইন করে আপনার পাসওয়ার্ড রিসেট করুন। অন্যথায় ২৪ ঘণ্টার মধ্যে অ্যাকাউন্ট সাসপেন্ড হবে।,139,1,15,15,0,1,1,0,0,0,0,0,1,15,15,0,1,1,0,0,0,0,0,গ্রামীণফোন অ্যাপ লগইন ব্যর্থ হয়েছে। এখনই gp-appreset.net এ লগইন করে আপনার পাসওয়ার্ড রিসেট করুন। অন্যথায় ২৪ ঘণ্টার মধ্যে অ্যাকাউন্ট সাসপেন্ড হবে।,গ্রামীণফোন অ্যাপ লগইন ব্যর্থ হয়েছে। এখনই gp-appreset.net এ লগইন করে আপনার পাসওয়ার্ড রিসেট করুন। অন্যথায় ২৪ ঘণ্টার মধ্যে অ্যাকাউন্ট সাসপেন্ড হবে।,0,0,2,1,1,147,21,0,0,0,1,0,40,0,0,2,1,109,13,0.8934426229508197,0.10655737704918032,1,1
